RN,geometry,대형마트_개수,편의점_개수,어린이집_개수,학교_개수,학원_개수,주차장_개수,주유소_개수,지하철역_개수,은행_개수,문화시설_개수,중개업소_개수,공공기관_개수,관광명소_개수,숙박_개수,음식점_개수,카페_개수,병원_개수,약국_개수,헬스클럽_개수,셀프빨래방_개수,집객시설_총_개수,상주인구
가로공원로84길,POINT (126.84098 37.535939),0,3,3,1,9,1,0,0,0,0,4,0,0,0,8,2,0,1,0,1,33,20
강서로,POINT (126.841037 37.540867),0,9,3,1,9,1,2,1,13,1,15,0,0,3,15,15,15,10,10,0,123,96
가로공원로76가길,POINT (126.841038 37.533711),0,5,3,0,8,0,0,0,5,0,15,0,0,0,15,3,3,2,1,2,62,17
강서로7길,POINT (126.841167 37.528947),0,11,1,0,3,1,0,0,4,0,15,1,0,15,15,10,0,2,2,1,81,26
곰달래로18길,POINT (126.841345 37.530243),0,9,2,0,2,2,0,0,2,0,13,1,0,15,15,6,0,1,1,2,71,8
곰달래로18길,POINT (126.841488 37.528445),0,8,1,0,2,1,1,0,3,0,9,0,0,13,15,8,0,2,2,1,66,32
강서로29길,POINT (126.841493 37.540263),0,6,4,1,5,1,2,1,4,1,15,0,0,1,15,9,15,5,6,0,91,87
국회대로,POINT (126.841644 37.526667),0,4,1,1,4,0,1,0,1,0,5,0,0,0,15,7,0,1,0,0,40,92
가로공원로84길,POINT (126.841965 37.534317),0,4,4,0,14,0,0,0,4,0,15,0,0,0,15,5,1,1,1,2,66,18
월정로16길,POINT (126.84197 37.527886),0,7,1,0,2,1,1,0,3,0,6,0,0,3,15,4,0,2,2,1,48,42
강서로17나길,POINT (126.842079 37.535944),0,2,3,1,9,0,0,0,1,0,5,0,1,0,6,2,0,1,0,0,31,36
강서로,POINT (126.84211 37.539283),0,5,3,0,3,1,2,0,2,1,15,0,0,0,15,6,3,2,1,0,59,81
월정로20길,POINT (126.842125 37.529866),0,8,1,0,2,1,0,0,3,0,15,1,0,10,15,4,0,2,3,3,68,5
강서로17다길,POINT (126.842238 37.532537),0,5,3,0,5,0,0,0,4,0,15,0,0,0,15,4,1,0,1,2,55,9
월정로14길,POINT (126.842303 37.527488),0,6,1,1,2,1,1,0,3,0,3,0,0,1,15,1,0,2,2,1,40,57
곰달래로19길,POINT (126.842318 37.531739),0,7,1,0,2,0,0,0,4,0,15,1,0,1,15,5,1,0,0,2,54,6
곰달래로19나길,POINT (126.84242 37.530699),0,4,0,0,2,1,0,0,1,0,15,1,0,6,15,6,0,1,2,2,56,2
곰달래로20길,POINT (126.842768 37.530333),0,6,1,0,3,1,0,0,2,0,15,1,0,7,15,4,0,1,2,3,61,3
곰달래로20길,POINT (126.8429 37.528534),0,8,2,0,3,2,1,0,3,0,9,0,0,6,15,2,0,2,2,2,57,19
가로공원로76가길,POINT (126.843075 37.534495),0,3,2,0,8,0,0,0,2,0,9,0,0,0,11,4,1,0,1,2,43,38
강서로,POINT (126.843087 37.537657),0,3,2,1,1,0,0,0,1,0,6,0,1,0,5,3,0,0,0,0,23,69
국회대로,POINT (126.843203 37.526924),0,3,0,1,5,1,1,0,2,0,4,0,1,0,15,0,0,1,1,1,36,72
강서로7길,POINT (126.843398 37.529244),0,8,3,0,3,3,0,0,4,0,15,1,0,6,15,5,0,2,3,3,71,7
월정로20길,POINT (126.843529 37.529935),0,9,2,0,3,2,0,0,2,0,15,2,0,6,15,5,0,1,4,3,69,1
강서로5나길,POINT (126.843797 37.528415),0,7,3,0,1,2,1,0,4,0,9,1,0,2,15,2,0,2,2,2,53,33
강서로15길,POINT (126.843961 37.532232),0,5,2,0,3,2,0,0,3,0,15,0,0,0,15,10,10,2,5,1,73,13
강서로17나길,POINT (126.844053 37.532701),0,5,2,0,2,3,0,0,3,0,15,0,0,0,15,10,12,3,5,1,76,24
강서로,POINT (126.844089 37.536042),0,0,1,1,5,0,0,0,0,0,1,0,1,0,9,4,0,0,0,0,22,64
곰달래로22길,POINT (126.844165 37.530418),0,6,2,0,5,0,0,0,0,0,15,1,0,4,15,7,0,1,3,2,61,4
곰달래로22길,POINT (126.844305 37.52862),0,7,3,0,1,2,1,0,2,0,10,1,0,7,15,7,0,2,2,1,61,23
강서로17가길,POINT (126.844508 37.533443),0,5,1,0,5,3,0,0,3,0,15,0,0,0,15,12,15,4,5,1,84,44
곰달래로19나길,POINT (126.844676 37.530839),1,6,3,0,7,2,0,0,2,0,15,1,0,3,15,15,15,2,6,2,95,10
강서로7길,POINT (126.844816 37.529373),0,8,2,0,4,2,0,0,2,0,15,1,0,15,15,10,0,1,5,1,81,15
강서로7길,POINT (126.844871 37.530017),0,8,2,0,4,2,0,0,2,0,15,1,0,14,15,9,1,0,6,1,80,11
강서로,POINT (126.845088 37.534424),0,4,2,0,8,1,0,0,3,0,15,0,0,0,15,8,9,3,6,0,74,66
강서로13길,POINT (126.845366 37.531206),1,5,3,0,8,5,0,2,7,0,15,0,0,3,15,15,15,9,12,0,115,28
곰달래로,POINT (126.845433 37.530496),1,8,2,0,7,3,1,1,5,0,15,1,0,13,15,15,15,5,10,1,118,27
강서로5다길,POINT (126.845624 37.528015),0,7,2,0,2,3,0,0,2,0,2,1,1,15,15,6,0,0,0,1,57,59
강서로17길,POINT (126.845671 37.533482),0,7,2,0,9,4,0,1,5,0,15,0,0,0,15,15,15,6,9,0,103,12
강서로5가길,POINT (126.845818 37.52906),0,10,2,0,4,3,1,0,4,0,15,1,0,15,15,15,7,2,4,1,99,43
국회대로,POINT (126.845972 37.52739),0,4,2,0,4,2,0,0,1,0,2,0,1,8,15,3,0,0,0,0,42,89
강서로5나길,POINT (126.846055 37.528532),0,8,2,0,3,3,1,0,3,0,8,1,0,15,15,10,0,0,1,1,71,58
강서로13길,POINT (126.846262 37.532509),1,7,4,0,10,6,0,2,7,0,15,1,0,0,15,15,15,9,13,0,120,65
강서로7길,POINT (126.846523 37.52957),0,9,1,0,6,2,1,0,9,0,15,1,0,15,15,15,15,3,8,0,115,49
강서로5가길,POINT (126.846565 37.5291),0,9,2,0,3,2,1,0,4,0,13,1,0,15,15,15,10,2,5,0,97,55
곰달래로24길,POINT (126.846649 37.53057),1,8,2,0,10,3,1,2,10,0,15,1,0,15,15,15,15,6,11,0,130,51
강서로,POINT (126.847061 37.531181),1,11,5,0,14,5,1,2,10,0,15,1,0,4,15,15,15,9,11,2,136,68
강서로5다길,POINT (126.847232 37.528591),0,6,2,0,2,3,1,0,3,0,4,1,0,15,15,11,6,1,3,0,73,77
강서로7길,POINT (126.847877 37.529743),0,7,1,0,7,2,1,0,8,0,15,0,0,15,15,15,15,4,7,0,112,80
국회대로,POINT (126.847952 37.527725),0,1,2,0,0,2,0,0,0,0,1,0,0,12,15,3,0,0,0,0,36,102
강서로5가길,POINT (126.848055 37.529173),0,5,0,0,4,2,1,0,4,0,15,0,0,15,15,15,10,2,5,0,93,91
강서로,POINT (126.848879 37.527881),0,2,2,0,2,4,0,0,1,0,0,0,0,4,15,3,0,0,1,0,34,103
